Vmag,Plx,e_Plx,B-V,SpType
6.08,6.03,0.79,1.216,K1III
9.26,4.79,1.42,0.604,G0V
7.55,1.48,0.99,1.515,M...
8.26,6.3,1.03,0.436,F0
8.33,3.39,1.23,1.011,K0
9.32,7.66,1.38,0.546,F7V
9.26,0.56,1.34,1.81,C4.5v
8.49,5.07,0.91,0.182,A3
10.4,3.82,1.7,0.72,G0
6.48,6.09,0.84,1.161,K0
8.13,4.86,0.88,0.453,F5
9.13,8.85,1.37,0.606,G0V
9.31,5.34,1.33,1.01,K0
6.76,5.96,0.78,-0.058,B9
9.63,7.15,1.06,0.594,F7V
7.27,36.15,0.8,0.681,G8IV+...
6.81,28.91,0.73,0.596,G3IV
7.87,4.57,0.96,1.195,K0
10.63,4.44,1.89,0.574,F8
8.33,5.08,1.06,0.448,F3IV/V
9.43,7.79,1.32,0.293,F0IV
5.38,4.27,0.54,0.008,B9III
8.46,7.55,1.08,0.438,F3V
6.9,2.96,0.99,1.426,K3III
9.47,3.23,1.36,0.388,F0
8.08,5.31,0.94,0.43,F3V
10.24,9.13,1.51,0.768,G0
10.04,1.58,1.87,1.062,G5
8.11,2.3,1.19,0.89,G5/G6III
8.82,6.44,1.24,0.374,F0V
7.63,10.47,0.85,0.843,G8V
10.39,2.66,1.65,0.571,G0
9.5,1.87,1.38,0.103,A0
8.14,8.12,0.82,0.433,F3V
8.64,0.46,1.26,0.099,A0
10.5,2.14,1.73,0.408,F2
7.57,20.45,1.08,0.616,G2V
8.68,12.98,1.1,0.564,G0V
9.61,23.77,1.31,1.06,K2
8.27,7.33,0.98,0.153,A0
8.34,9.0,1.04,0.46,F5
8.34,3.15,1.17,1.367,K0
5.72,6.17,0.71,-0.056,B9IV
8.36,1.91,1.2,1.115,G5
8.49,4.6,1.27,0.958,G
8.6,6.59,0.85,0.548,F6V
8.79,9.83,1.18,0.611,G1V
7.52,23.69,1.08,0.629,F8
8.34,3.29,0.89,1.597,K2
7.89,15.77,0.82,0.538,F5
8.48,0.45,1.2,1.457,K2
9.33,1.95,1.05,1.545,K5IV/V
9.77,8.41,1.6,0.73,G3/G5V
11.26,26.69,24.06,1.35,M1
8.83,2.57,1.16,1.044,G8/K0III
10.25,3.72,1.46,0.574,F5
7.37,0.61,0.84,1.573,K5
8.78,4.89,3.05,0.539,F0
8.95,1.56,1.42,1.095,K0
8.89,2.56,1.24,1.02,G5
9.82,10.87,1.44,0.74,G5
6.91,8.37,0.73,0.95,G8IV:
8.81,11.27,1.96,0.637,G0...
7.06,4.91,1.09,1.427,K3III
10.42,1.86,2.08,0.509,F3/F5V
5.77,5.5,1.03,0.855,G5III
8.7,2.59,1.06,0.015,A2
8.77,2.98,0.86,1.08,G8III
7.73,5.21,1.01,1.158,K0
8.97,-0.62,1.2,0.004,B3
8.98,0.66,1.35,1.311,K2III
8.85,10.52,1.12,0.52,F7V
9.96,-0.75,0.92,0.358,B8
7.55,2.03,0.66,1.227,K2III
8.89,8.17,1.2,0.647,G3V
8.12,9.45,1.05,0.437,F5
8.22,4.65,0.98,1.016,K0III-IV
7.7,9.52,1.07,0.559,F5V
8.24,5.11,1.41,0.328,F0
7.93,1.96,0.81,0.95,G8III
7.58,5.31,0.82,1.037,K0III
2.82,133.78,0.51,0.618,G2IV
9.2,0.91,1.44,1.654,M1
8.0,7.81,0.91,0.253,A2
6.78,0.11,0.71,1.676,K2
6.77,3.33,0.84,1.3,K0
9.46,7.59,1.45,0.5,F5V
7.64,5.93,0.95,0.056,A0/A1V
8.37,13.82,2.56,0.402,F0p...
6.88,6.89,0.91,1.293,K2III
8.62,5.15,2.85,0.348,F0...
8.42,1.12,0.97,-0.047,B8
9.21,8.14,1.33,0.644,G0
6.91,1.07,0.56,-0.023,B1V
7.45,2.6,0.7,0.261,B9
7.41,6.18,1.39,1.152,K0
9.25,17.45,1.56,0.838,K0
8.05,3.33,0.91,0.13,A0
9.94,2.2,1.74,1.451,G
10.02,7.97,1.61,0.616,G0
9.35,3.19,1.39,0.36,F0V
9.64,2.34,1.73,1.141,K0
7.52,4.12,1.01,0.99,G8III
8.66,9.11,1.23,0.397,F2
8.51,5.61,1.18,0.119,A0
8.78,11.94,1.56,0.556,F5
8.9,10.19,1.29,0.675,G5V
7.5,6.11,0.88,0.929,K0
9.48,-3.01,1.61,1.311,K2III:
9.02,5.46,1.45,0.555,F5
9.15,1.18,1.17,0.067,A0
9.47,5.75,1.23,0.491,F5V
7.53,5.46,0.82,0.14,A3
7.64,1.46,0.97,1.533,M0III
8.41,9.76,1.04,0.81,G5
6.67,3.45,0.78,-0.036,B8
8.43,5.2,1.56,1.0,K2
8.99,0.69,1.93,0.736,G5
8.97,0.77,1.06,1.241,K2III
8.74,10.58,1.17,0.524,F6/F7Vw...
7.12,1.39,0.76,1.201,K0
10.48,6.16,3.88,0.506,F5/F6IV/V
8.25,16.21,1.02,0.583,F8
8.08,9.08,0.88,0.51,F5
9.68,9.53,1.39,0.502,F6V
8.64,1.5,1.04,1.606,K5III
9.25,7.58,1.17,0.3,A3II/IIIp..
8.5,4.32,1.16,0.969,K0
6.71,4.45,0.91,0.879,G5III
3.93,42.51,0.69,0.175,A7V
8.4,3.5,0.98,0.105,A0
7.11,8.54,0.77,0.997,K0III/IV
9.37,2.26,1.24,0.417,A2
9.39,6.77,1.23,0.9,K0IV/V
7.57,5.83,1.0,1.28,K2/K3III
6.9,2.3,0.88,-0.128,B8
2.4,42.14,0.78,1.083,K0III...
8.32,5.26,1.03,1.089,K2
7.87,11.7,1.03,0.406,F5
8.53,0.82,0.95,1.775,K5
7.8,0.91,0.91,0.635,F5IIvar
6.24,4.3,0.91,1.622,M1III
6.94,1.53,0.83,1.294,K0
7.6,3.08,1.0,0.976,K0IV
9.42,1.67,1.37,0.319,A5
9.6,-1.65,1.66,0.197,B1IV
10.41,5.92,1.53,0.391,F8
8.33,2.54,1.05,1.005,K0
9.07,3.48,0.97,0.131,A0
9.08,8.85,1.12,0.526,F7V
8.27,3.84,1.11,1.087,K0III
7.82,2.91,0.9,0.073,B9
8.66,6.22,1.7,0.571,F8...
10.08,4.62,1.68,0.407,F2V
8.58,11.7,1.19,0.463,F3V
6.16,6.71,1.23,0.893,G8III
6.58,3.84,0.75,0.021,B9V
10.05,22.32,1.59,1.0,K0
8.04,2.99,1.08,1.494,K2
7.53,1.58,0.89,1.619,M...
8.7,1.05,1.06,1.397,K2
6.98,4.97,0.6,1.378,K4III
8.75,14.9,1.07,0.576,G2/G3V
8.63,2.54,1.13,1.153,K0
8.98,0.14,1.34,-0.018,A0
10.68,2.34,2.02,0.38,G0
8.1,11.96,0.72,0.501,F6V
8.89,1.51,1.04,1.001,K0III
8.31,3.21,1.08,0.376,F0
9.11,7.33,1.09,0.461,F5V
8.03,9.53,1.19,0.515,K0:III:+...
8.02,2.37,1.16,1.331,G5
9.37,4.51,3.2,0.47,F8
7.96,8.76,1.15,0.391,F0
10.52,61.39,1.51,1.459,M0
8.6,11.44,1.19,0.446,F5
8.45,4.11,1.1,0.415,F2/F3IV/V
8.31,2.39,1.19,1.604,K5
9.09,2.91,0.94,0.9,G3III:
8.93,4.76,1.15,0.31,A9V
8.91,-0.39,0.92,1.576,K4/K5V:
9.52,10.27,1.08,0.735,C6II
9.66,17.16,1.47,0.703,G5
8.69,6.62,1.06,0.605,F8
10.22,4.3,1.52,0.05,A1V
8.92,14.38,1.05,0.643,G5
8.49,0.97,1.12,1.427,K5III
9.11,2.25,1.15,0.321,A5
9.33,6.77,1.38,0.48,F3/F5V
6.66,12.51,0.84,0.487,F7IV
9.5,18.1,1.47,0.931,K1V
7.05,7.26,0.86,1.119,K0
10.13,5.41,1.9,0.599,G0
7.29,3.21,0.91,0.931,G5
9.37,10.41,1.37,0.587,F7/F8V
6.53,6.35,0.52,-0.083,B9
8.09,18.36,2.75,0.73,G5
7.35,2.03,0.84,1.689,M1III:
7.67,2.22,1.06,1.503,K0
7.57,3.09,0.82,1.302,K5III
10.41,4.59,1.37,0.506,F6
8.04,5.76,1.59,-0.1,A3
8.49,4.76,1.24,1.132,K1IV
6.95,5.22,1.35,-0.014,B9
7.49,4.88,0.92,1.19,K3III
9.62,4.53,1.69,1.415,K2
8.77,3.25,1.45,1.217,G5
8.66,3.7,1.41,1.052,K0/K1IIIp..
9.55,9.22,1.45,0.611,G5
8.68,9.94,1.28,0.528,F6V
5.99,4.86,0.97,1.022,K0III
10.14,5.49,1.72,0.52,F5V
9.05,2.36,1.09,0.342,F2III
9.08,1.28,1.27,1.453,M3III
9.52,3.67,1.45,0.44,F3V
8.26,3.25,0.94,1.11,K0
8.01,1.4,0.93,1.551,M2/M3III
10.05,-0.43,1.67,1.003,K0
7.18,4.53,0.98,0.894,G4III
7.89,9.77,1.1,0.47,F2
9.33,2.59,1.08,1.068,K1III/IV
7.01,6.83,0.98,0.967,G8/K0III
8.21,1.61,1.24,1.059,K1III...
10.19,3.88,1.44,0.553,F8
9.39,3.58,1.5,1.077,K2
9.91,5.23,1.53,0.809,K0
7.56,16.49,1.14,0.585,F8
9.39,7.34,1.28,0.53,F6V
9.02,2.36,1.09,0.947,K0III
7.73,13.47,0.89,0.401,F2V
6.44,7.7,0.71,0.23,A5
8.43,3.66,0.98,1.588,K2
7.67,0.08,1.09,2.1,N0v
8.83,3.55,1.15,0.09,A0
8.28,2.63,0.75,0.912,G6III
8.99,4.65,1.42,0.402,A9V
6.78,8.63,0.84,0.261,A9V
8.7,6.14,1.05,0.362,A9V
8.51,9.83,0.83,0.504,F8IV/V
9.92,0.33,2.39,0.632,F7V
8.93,2.91,1.03,1.156,K1/K2III
7.2,13.54,1.1,0.498,F5/F6V
7.47,2.03,0.77,0.043,B3V
9.15,-0.58,1.22,0.136,A0
8.0,1.84,0.93,1.034,K0III
9.02,21.72,1.37,0.745,G6V
7.96,1.29,1.15,1.253,K2
9.73,7.56,1.55,0.501,F6/F7V
8.73,3.04,1.14,1.149,K0
9.29,7.12,1.56,0.255,A0
9.37,3.73,1.34,0.106,A0
8.11,4.83,1.03,0.166,A2
9.14,4.85,1.2,0.485,F2
8.64,-0.2,1.34,1.219,K2III
7.78,10.86,0.91,0.453,F5
8.93,6.56,1.29,0.558,F8
8.46,5.35,1.91,0.258,A2
8.46,10.58,2.15,1.2,F8V
8.6,2.68,1.17,1.291,K2
9.27,4.09,1.27,1.14,K2III
4.86,5.95,0.72,1.634,M2/M3III
9.34,1.84,0.91,0.285,B8
9.35,-0.12,1.62,1.072,K2
6.4,6.12,0.79,0.99,K0
9.88,6.97,1.13,0.512,F6V
7.35,8.87,1.48,1.205,M5III
9.33,0.95,1.74,1.51,M5
9.12,3.97,1.13,0.535,F7V
7.67,3.52,0.8,0.983,K0III
5.01,6.65,0.78,1.584,M3IIIvar
7.68,3.29,0.81,0.409,F5
9.72,0.04,1.38,0.005,A0
7.48,1.35,0.85,1.585,K0
8.89,1.26,0.91,0.115,A
6.05,2.93,0.72,1.58,K5III
8.27,8.17,1.95,0.795,G5IV
5.18,12.32,0.75,0.043,A2Vs
6.75,7.5,0.92,1.127,K1II
8.19,6.83,1.07,0.3,A3m...
8.55,2.57,1.15,1.069,G5
8.92,12.57,1.05,0.609,G0V
7.81,10.51,1.04,0.601,F8
9.36,9.04,3.06,0.75,G0
10.05,6.88,1.78,0.75,G5/G6V
7.73,6.03,0.72,0.33,A9IV
6.05,27.51,0.86,0.447,F6Vawvar
6.44,31.01,0.87,0.594,G3V
8.03,3.71,1.13,1.077,K0III
7.1,17.88,0.9,0.5,F5V
5.42,7.86,0.68,1.556,M0III
7.13,5.15,0.85,1.018,K0
9.52,8.15,1.48,0.552,G0
6.87,6.59,0.8,0.106,A2p...
8.68,1.55,1.14,1.147,K0
9.99,4.93,1.3,0.448,F2
6.86,15.86,0.89,0.535,F5
9.62,26.64,1.4,1.128,K5V
8.34,4.4,1.2,0.96,G5
7.47,2.94,0.83,1.47,K0
8.53,2.62,1.15,0.945,G5
9.75,0.28,1.51,0.42,F0V
8.12,6.23,2.29,0.228,A5
7.79,4.52,0.89,1.086,K1III
9.98,7.77,1.45,0.64,G2
10.28,6.14,2.08,0.67,F8
6.26,8.58,0.67,1.09,K0III
9.92,2.61,1.66,0.351,F2
8.63,2.64,1.04,0.009,A0
8.74,-1.11,0.99,0.188,B0.5IV...
9.14,2.01,1.06,0.973,K0III
10.14,3.22,2.78,0.42,F2V
9.25,0.48,1.27,1.023,G4
7.14,3.74,1.1,0.318,A9V
7.75,4.58,1.03,1.034,K0
9.42,0.31,1.35,1.406,K5
8.51,6.45,1.17,0.446,F3V
7.3,0.87,0.88,0.894,G8III-IV
9.34,2.68,1.41,1.452,K5
8.56,3.42,1.06,1.008,G8IV
6.28,7.03,0.86,0.916,G5III
7.04,1.5,0.95,1.617,M0
9.13,3.68,1.25,1.066,K1III
9.25,15.85,1.35,0.864,K1III
9.84,1.04,3.63,0.398,F2V
8.97,8.81,1.18,0.523,F5
9.06,6.43,1.25,0.404,F0V
9.44,2.97,1.35,1.355,K5
8.0,1.53,1.54,0.953,G6III
8.95,2.68,1.16,1.036,K1III
8.09,8.48,1.08,0.375,F0
8.86,3.72,1.24,1.122,K2
8.46,20.6,1.06,0.748,G6V
7.35,2.58,0.97,1.616,K5III
9.0,5.99,1.35,0.526,F7V
9.01,2.18,1.35,1.575,M0
9.64,-2.13,3.75,1.5,K2III:
9.9,-6.82,5.82,0.577,G1V
9.07,10.93,1.55,0.68,G3V
8.02,4.4,0.86,0.97,G4III
7.68,1.99,1.05,1.491,K4III
8.93,3.49,1.21,0.377,F0V
7.78,17.88,0.97,0.649,G0
11.37,17.58,1.75,1.153,K:
9.42,8.96,1.25,0.61,G1V
10.22,4.13,1.72,0.591,F6V
8.87,3.45,1.25,0.295,B8
8.72,5.64,1.2,0.267,A2III
8.5,4.36,1.19,1.101,K0
10.48,2.07,1.2,0.557,F2
7.34,0.57,1.01,1.474,K3III
8.6,1.62,1.23,0.883,G5
8.74,2.09,1.19,1.018,G5
6.82,2.82,0.74,1.273,G8/K0III
8.53,9.21,1.07,0.464,F5V
7.95,17.2,0.89,0.691,G5
8.32,4.74,1.32,0.355,F0
8.32,3.24,1.14,0.942,K0
8.51,5.93,1.28,0.972,K0
9.51,4.89,2.32,0.634,G5
10.68,2.67,2.42,1.08,K8
9.34,22.77,1.5,0.84,G5
6.95,2.93,0.99,1.307,K5
8.95,6.39,1.23,0.504,G0
7.78,9.53,0.96,0.556,F8
7.29,3.96,0.87,1.183,K0
9.77,8.6,1.55,0.793,G5
8.82,15.28,1.18,0.602,G1V
7.62,13.2,0.93,0.465,F5V
7.0,7.1,0.68,1.06,K2III
8.86,3.0,1.12,1.111,K0III
8.88,2.8,1.44,0.6,F8
6.89,5.2,0.95,1.457,K2
7.68,4.09,0.88,1.05,G5
9.66,0.23,1.51,0.049,B9
7.9,14.45,1.11,0.494,F5
10.11,20.25,4.43,0.57,F2
9.28,1.17,2.66,0.101,B8
7.54,1.37,0.89,0.002,B9
6.59,5.05,0.81,1.351,K2/K3III
11.01,1.45,2.61,0.504,K
7.88,5.85,1.08,1.123,K0
7.83,6.1,0.99,1.024,G6III...
8.9,6.94,1.26,0.393,A3
9.1,6.03,1.2,0.638,G3V
7.47,11.67,0.96,0.544,F8
6.15,23.62,0.87,0.388,F2/F3V
9.19,8.06,1.33,0.626,G1V
8.24,8.8,0.89,0.883,K0
7.93,2.74,1.11,1.232,K2
8.95,8.45,1.23,0.648,G5
8.15,5.98,1.03,1.03,K1III
7.46,14.05,0.9,0.353,F0
9.29,6.99,1.48,0.483,F3V
9.09,3.37,0.89,1.104,K1III
9.37,2.82,2.33,0.5,F8/G0V
8.86,2.32,1.09,1.096,G1Ibvar
9.24,4.21,1.38,0.938,K0IV/V
8.14,2.71,0.9,0.972,G8III
9.44,18.62,1.35,0.886,G5
9.11,3.53,1.42,0.489,F3V
8.41,13.12,0.85,0.618,K0
5.72,3.82,0.92,1.545,M0III
8.85,0.64,1.02,0.885,F4II
5.2,17.62,0.86,0.271,A7III
9.55,1.63,1.69,0.534,G5
9.09,3.04,1.38,0.258,A2
6.52,14.87,0.9,0.453,F5
9.56,4.21,1.54,0.986,K1IV
8.95,6.79,1.27,0.779,G5
10.21,4.21,1.64,0.628,G3/G5V
9.54,0.33,1.8,1.194,K1III
8.94,6.56,1.21,1.016,K1III
10.1,25.04,1.9,1.08,K8
9.1,4.78,1.09,1.104,K2
8.85,1.72,1.16,0.37,F0
9.08,1.84,1.28,0.1,A0
8.51,11.77,1.2,0.613,G3V
9.02,6.48,1.24,0.403,F0
12.22,2.22,3.71,0.41,A7
7.27,5.29,0.7,0.007,A0
9.2,1.32,1.19,1.652,M1III
10.68,20.15,1.85,1.066,K2
7.4,3.83,0.77,1.282,K0
10.3,7.11,1.75,0.57,F8
8.94,6.02,1.21,0.756,G5V
5.94,4.54,0.76,-0.003,B9IIIn
8.23,1.68,0.91,0.461,F0
9.31,2.98,1.37,1.045,K1III
9.75,2.37,1.48,0.808,G6V
5.17,18.08,0.9,0.128,A3V
10.9,0.82,1.83,0.469,B6III-IV
5.67,22.19,0.67,0.367,F2V
9.41,5.09,1.41,1.747,M0
9.19,3.26,0.94,0.204,A0
8.15,12.28,1.07,0.488,F5V
6.18,7.77,0.72,0.315,F2III
7.97,3.15,1.07,1.086,K0III
8.32,0.19,0.95,0.495,B0.5III
12.25,11.25,4.75,1.41,M3V:
6.6,7.19,0.74,1.141,K1III
7.63,7.85,0.9,0.458,F5
9.29,4.75,1.29,0.466,F0
8.56,6.77,1.1,0.198,A0
9.39,0.37,1.42,1.289,K5
9.22,29.34,1.18,0.93,K5
8.44,3.06,1.15,1.19,K2
8.86,2.26,1.35,1.141,K1III
9.17,3.54,1.25,0.2,A5
8.77,4.8,1.03,0.061,A0
8.27,2.45,1.0,1.085,K0
7.55,9.86,1.0,0.506,F5V
9.07,2.49,1.36,0.988,K0III
8.7,2.07,1.24,1.055,G8III
7.54,6.94,0.79,0.203,A4IV/V
7.52,9.15,0.95,0.464,F2
7.43,2.93,1.03,1.567,M...
7.39,2.05,0.68,-0.013,B2V
12.07,8.45,3.97,1.343,K7
9.6,5.87,2.15,0.681,G5
10.69,14.69,1.82,0.9,K0
7.72,2.11,0.91,0.747,G5IIIwe
7.74,20.91,1.05,0.652,G0
6.83,8.46,0.74,0.126,A0
9.07,17.5,1.23,0.734,G5/G6V
9.09,14.06,1.33,0.617,G2/G3V
9.95,2.24,1.29,0.349,B8
8.15,7.21,0.71,0.194,A0
7.64,7.14,0.94,0.182,A0
8.19,3.64,1.03,0.97,K1III
6.18,25.37,0.54,0.883,K0IV
8.12,4.88,0.89,0.477,F8
10.01,-1.2,4.22,0.489,F2
9.57,3.7,1.35,0.535,F2
8.79,-1.25,1.4,1.282,K2III
8.4,1.28,1.15,1.187,K2III
8.07,8.1,2.16,0.455,F5
8.41,1.88,0.96,1.486,K3III
6.86,7.01,0.91,0.2,A3
8.33,1.53,1.02,1.32,K2
9.58,8.28,1.33,0.547,F8/G0V
8.51,10.69,1.08,0.553,F7V
8.52,0.77,1.09,1.585,M1III
8.71,3.68,1.2,1.141,K2III
7.37,4.2,1.24,0.873,K0
10.26,3.44,2.5,0.449,G0
9.43,-0.07,1.31,0.569,F5
6.57,7.97,0.73,1.154,G5
7.62,4.28,1.0,1.359,K2
7.71,4.35,0.87,0.14,A0
10.63,2.26,2.2,0.52,G0
8.46,11.69,1.57,0.636,G0
8.92,9.19,0.86,0.593,F8V
7.73,4.76,0.86,1.138,K1III
8.01,1.32,1.09,1.023,G8IV
9.54,7.24,1.35,0.36,F2V
9.79,3.91,2.45,0.711,F8IV/V
8.83,1.1,1.06,0.04,A0
8.41,5.86,1.14,0.398,F0V
9.27,16.21,1.36,0.804,K0V
7.37,23.95,0.66,0.504,F8
6.76,2.44,0.81,-0.064,B8
10.99,-1.2,2.15,0.05,B9.5V
9.42,0.27,1.28,0.017,B3
12.38,16.71,5.59,1.339,M0V:
8.73,1.07,1.17,0.176,B5
10.38,5.88,1.56,0.751,F7/F8V
8.99,1.22,1.14,1.704,M2III:
8.48,-0.06,1.06,0.713,Fw
9.34,-0.33,0.94,0.268,B8
7.53,4.86,0.88,0.143,A3V
8.1,9.19,1.13,0.354,F0
8.11,3.63,0.96,1.109,K1III
8.49,5.62,1.16,0.18,A3
7.83,6.13,0.98,0.918,G8III
9.75,3.56,1.61,0.539,F8
4.76,18.97,0.64,0.018,A0V
7.32,3.55,0.92,0.11,A3
6.18,4.55,0.58,-0.1,B6V
5.88,6.98,0.79,1.133,K1III...
8.44,5.06,1.09,0.102,A0
10.07,4.33,2.06,1.63,K5
8.08,-1.59,1.15,1.127,G5III
7.18,13.44,0.83,0.275,A5
7.17,5.08,0.79,1.352,K4III
7.48,3.21,0.83,1.606,K5
8.1,15.9,1.03,0.528,F8
8.15,15.36,1.58,0.653,G0...
4.36,23.35,0.52,-0.064,B9V
4.53,18.95,4.35,0.147,A2V
8.81,5.07,1.18,0.587,F5
9.7,1.43,1.65,0.552,F3V
9.38,7.95,1.06,0.456,Ap...
7.88,3.2,0.83,0.037,A0IV/V
6.89,4.12,0.76,1.267,K0
6.99,3.96,0.91,1.405,K2
10.99,10.63,2.39,0.682,K2
8.7,2.01,1.88,0.116,A0
8.88,-0.1,1.11,0.14,A0
9.0,11.3,1.26,0.569,F8
7.07,9.86,0.86,0.071,A0
5.59,8.29,0.68,1.163,K2III
7.25,12.27,0.88,0.906,K0
12.41,-0.72,3.07,-0.279,B
8.28,7.6,1.03,0.281,A3
9.67,2.59,1.27,0.418,A5
7.44,5.23,1.08,0.955,G5
7.58,-0.17,0.86,-0.034,B8
9.64,13.68,1.38,0.817,K0V
4.74,9.2,1.06,-0.098,B8Vn
9.37,6.86,1.35,0.521,F6V
7.48,5.28,1.0,1.104,G5
7.9,5.41,0.88,0.964,K0
8.11,6.4,1.47,0.88,G0
7.99,9.3,1.0,0.325,F0
9.6,15.71,1.45,0.759,G6/G8V
7.22,10.47,0.81,0.535,F5
9.52,6.93,1.25,0.651,G3V
7.88,3.14,1.02,0.126,A2
9.98,1.79,1.67,0.219,A2
9.65,6.91,2.68,1.609,M0
6.87,3.59,0.83,1.638,K5III
8.89,4.85,1.4,0.397,A2
8.82,6.95,1.27,0.383,F2
8.84,2.31,1.44,1.05,K1III
8.73,4.42,1.25,0.473,F5
8.48,1.79,1.15,1.44,K2
9.08,2.61,1.53,1.296,K1/K2III
8.71,0.27,0.79,0.501,B2
8.33,2.76,0.84,0.39,B3Vne
7.52,1.9,0.9,1.211,K2III
7.07,5.22,0.91,1.245,K1/K2III
9.08,5.02,1.41,0.343,F2
10.34,6.78,1.77,1.248,R...
10.5,0.67,3.03,0.554,F8
7.92,3.77,1.03,1.083,K2
8.27,13.78,1.06,0.58,G1V
8.54,21.4,1.86,0.84,K0V
9.15,3.18,1.39,0.131,A0p...
8.3,4.79,1.04,0.058,A2
9.69,2.05,1.68,1.393,K2/K3III:
6.94,1.76,0.81,1.522,K2
9.74,6.25,1.53,0.486,F6V
6.74,9.62,0.76,0.191,A5IV
9.65,38.85,1.1,1.367,M0
8.71,2.25,1.23,1.234,K0
8.69,10.38,1.08,0.537,F8/G0V
7.1,11.36,1.01,0.377,F2
8.51,2.31,1.1,1.372,K5
7.32,13.81,1.01,0.391,F3III/IV
9.85,-4.26,4.43,1.5,M5e
9.23,8.69,1.38,0.52,F8
8.57,4.84,1.03,1.069,K0
5.69,12.36,0.8,-0.014,B9.5V
10.14,3.49,1.73,0.44,F2
8.11,4.05,0.97,0.958,K0III
6.69,4.96,0.83,-0.006,A1Vn
10.27,98.74,3.37,1.52,M2.5Ve
8.97,-0.12,1.2,1.314,K3III
9.11,2.94,1.03,1.092,K0III
9.36,19.65,1.47,0.928,K2V
6.94,2.61,0.82,1.101,K0
8.91,5.9,1.19,0.905,G8V
8.38,5.04,1.05,0.352,A5
6.79,6.01,0.81,1.54,K5
8.49,5.49,1.09,1.107,K1IV
8.4,4.34,1.08,0.097,Ap...
8.66,17.8,1.36,0.65,G5
8.29,1.89,1.03,0.284,A2
6.68,3.64,0.86,0.084,A2IV
9.26,5.57,1.19,0.45,F2
8.09,6.63,1.13,0.749,G6IV/V
5.38,12.69,0.72,1.069,K0III
9.27,1.01,1.39,0.504,F5
9.24,2.36,1.23,0.983,G5/G6III/IV
9.55,1.45,1.53,1.272,K7
6.72,8.31,0.9,1.176,K0/K1III
6.84,7.32,0.91,0.921,G8III-IV
8.9,10.45,1.31,0.735,G5V
6.9,4.47,0.93,0.364,F0
8.88,12.16,1.92,0.679,G5+...
9.25,-0.75,1.47,1.337,K5
5.07,21.52,0.49,0.038,A0V
8.5,2.39,1.13,0.047,Ap...
8.51,10.6,1.04,0.623,G3/G5II
6.91,3.56,0.78,1.249,K2III
9.76,2.23,1.06,0.244,B8
6.26,6.95,1.01,0.965,G8II
9.63,3.44,1.77,0.399,A9/F0V
8.7,3.96,1.22,0.997,K0
8.76,13.63,1.27,0.666,G5V
7.94,3.83,1.26,-0.017,A0
8.94,1.91,1.2,0.366,F0V
10.71,1.62,2.07,0.444,F7/F8V:
9.04,3.46,1.24,1.129,K0
8.22,5.44,1.0,0.211,A2
8.61,3.02,0.79,1.024,K0III
8.23,5.53,1.06,0.445,F2
9.89,1.63,1.72,0.895,K0
6.9,8.73,0.76,0.508,F6III
11.65,4.21,2.12,1.228,M8
7.58,11.3,0.8,0.384,F2
4.17,0.79,0.52,0.13,B1Ia
10.08,5.34,1.79,0.548,F6/F7V
10.27,9.52,1.63,0.78,K0
9.44,11.64,1.33,0.76,G5/G6V
8.38,7.7,1.15,0.501,F5
8.42,4.35,1.01,0.453,F2
10.94,29.26,2.16,1.311,M0
8.56,-2.25,1.22,1.477,K3III
9.08,0.71,1.22,0.152,A0
7.64,3.42,0.87,1.473,K5III
8.54,4.32,1.17,1.129,G5
9.39,7.76,1.44,0.466,G0
9.11,0.63,1.18,1.168,K1III
5.93,8.68,0.71,1.037,K0III
7.36,1.52,0.97,1.301,K0
9.29,1.71,1.34,0.012,B8
9.27,5.71,1.0,1.03,K1IV
7.47,3.52,0.84,0.285,A8V
9.11,3.8,0.85,1.376,K3III
10.23,3.89,1.76,0.642,G2V
9.49,2.88,1.46,1.269,K0
9.61,7.95,1.51,0.516,F6/F7V
8.47,1.86,1.11,1.61,K5
8.14,12.44,0.92,0.509,F5
10.21,7.12,1.93,0.483,F7/F8V
8.88,6.96,1.38,0.491,F7V
8.89,2.58,1.17,1.544,K7
8.18,5.14,1.08,1.163,K0
7.81,12.29,0.97,0.521,F5
8.55,2.18,1.38,1.179,K1III
6.41,6.18,0.54,-0.007,A0Vn
6.11,6.65,0.52,0.265,A7IV
9.15,0.17,1.13,1.47,K3/K4III:
9.1,8.02,1.74,0.651,G3V
8.76,9.34,1.3,0.606,F8
9.6,0.62,1.31,-0.105,B8V
8.48,-0.72,2.4,0.196,A2
9.89,-0.24,2.56,0.411,F2V
9.58,0.49,1.34,1.021,K0
7.88,0.58,1.78,0.83,G5III/IV
10.02,17.86,1.63,1.062,G5
9.39,7.85,1.46,0.389,F8
7.18,7.93,0.87,0.338,A3
7.21,6.34,3.4,0.0,A1V
7.76,16.68,1.62,0.556,F8
11.11,3.47,1.93,0.446,B3
7.27,13.56,0.92,0.609,G1V
7.76,2.97,0.93,0.0,A1IV/V
7.89,3.62,0.81,-0.007,B9
8.73,3.2,1.24,1.125,K0
7.29,2.29,1.61,1.462,K3/K4III
7.86,7.55,0.97,0.363,F0V
8.52,3.32,1.2,1.147,K0
8.43,1.93,1.16,0.94,G6III
8.73,4.74,1.1,0.327,F0
11.42,2.7,2.63,0.635,F2.2:
8.26,-0.55,2.41,1.072,G5
