Vmag,Plx,e_Plx,B-V,SpType,Amag
8.07,16.11,0.92,0.517,F7V,19.10547770209609
8.35,1.68,0.84,1.29,K0III,14.476546408629314
7.36,6.18,0.68,0.183,A3,16.31494237544408
10.19,3.9,1.68,0.37,F5V,18.145323035132495
8.47,5.31,1.17,0.337,F0,17.095472605407345
10.02,2.47,1.59,1.327,K0,16.98348476629833
7.42,3.7,0.89,1.132,K1III,15.261008620334975
8.18,16.31,0.96,0.504,F8,19.242269805201378
9.48,26.98,1.61,1.0,K0,21.635209726679427
9.12,11.7,3.14,0.676,G3V,19.460929308730808
9.75,2.96,1.56,0.735,F8V,17.106458555294694
8.85,6.0,1.3,0.976,F5,17.740756251918217
9.56,21.78,1.01,1.05,K5V,21.25028937709878
8.91,6.24,1.29,0.549,F5,17.885922948412123
8.59,5.54,0.75,0.146,A0V,17.30754882364215
8.79,7.49,1.81,0.475,F2,18.162409088497334
8.92,6.75,1.09,0.37,F2,18.066518864155125
6.39,8.15,0.86,1.136,K0,15.945788043699881
8.7,8.96,1.08,0.581,F8,18.461540048310624
8.97,22.17,1.24,0.827,K0,20.69882846557244
9.68,7.3,1.52,0.428,F3V,18.99661430060228
8.59,2.45,1.19,1.033,K0III,15.535830421822663
10.42,2.61,1.88,0.55,F2,17.503202536691404
8.15,2.95,1.17,1.594,K5,15.499110079890816
9.02,10.31,1.32,0.44,F2V,19.086293326417582
8.02,34.52,1.04,0.87,K0IV,20.71035393521586
9.56,9.64,1.47,0.61,G3V,19.480385169514157
8.55,34.04,0.86,0.854,K3V,21.209947757062753
7.62,6.24,0.98,0.98,G8III,16.59592294841212
8.76,8.92,1.03,0.391,F0V,18.511824271880613
8.76,18.13,1.01,0.602,G3V,20.051989020477542
9.62,5.84,0.98,0.481,F6V,18.452064235562
8.31,5.67,0.73,0.291,A2,17.077915294464532
8.46,1.83,1.54,1.27,K0,14.77225544865215
8.38,14.68,1.11,0.529,F8,19.213630277900258
9.02,16.71,7.26,0.97,K0,20.134882249466955
6.58,4.78,1.31,1.445,G8III-IV...,14.977139483060594
9.38,0.27,1.14,1.257,K0,11.536818820794938
9.23,2.51,0.98,1.313,K3/K4III,16.22836860740519
7.26,0.69,0.7,0.566,F0,11.454245453686276
8.85,2.01,1.43,1.14,K1/K2III,15.365980287102444
8.51,-0.48,1.67,0.219,A0IV/V,11.916206186877936
8.99,13.22,1.2,0.703,G5,19.596157275748105
7.37,22.87,1.0,0.602,F8,19.166330823033743
9.57,10.45,1.14,0.822,G8IV/V,19.665581452235365
5.2,47.51,1.15,0.567,F8V...,18.58392515209603
8.41,4.11,1.07,0.114,A0,16.479209109380346
8.02,12.58,1.11,0.46,F5,18.51840320554625
8.62,11.34,1.07,0.587,G0V,18.89306527278444
8.81,5.16,0.77,0.411,F2V,17.373248508136058
10.38,10.82,1.81,0.732,G5,20.55113630385275
9.13,-1.41,1.19,0.887,F4Iab:,14.8760955632769
8.36,5.61,1.87,0.441,F3V,17.104814306280808
8.62,0.58,0.77,0.285,B9,12.437139967814685
7.78,2.82,1.21,1.371,K3III,15.031245541596805
8.07,1.38,1.26,1.378,G5,13.769395432006183
8.52,5.66,1.22,1.067,G5,17.284082155941356
8.0,1.19,1.05,1.2,G5,13.377734806962653
8.0,2.84,1.19,1.034,K0III,15.266591700235187
9.68,0.01,1.41,1.161,K7,4.68
9.03,1.7,1.69,1.061,K0,15.18224460689137
8.64,7.25,4.38,0.112,A0,17.941690032854968
9.08,3.2,7.97,0.135,A0,16.60574989159953
8.35,10.53,7.9,0.598,G0,18.462141855927435
7.64,7.8,1.01,0.203,F0,17.1004730134524
6.95,8.57,0.75,0.097,A2,16.614904109615992
7.72,5.72,0.87,0.041,A0,16.50698014396512
10.85,2.28,2.47,0.836,K,17.639674235002268
8.99,1.54,1.23,0.888,G5,14.927603604182316
9.5,19.69,1.42,0.831,K0,20.971228580690592
5.94,17.97,0.74,0.444,F5IV,17.212740385544873
8.23,7.21,1.13,0.287,A7V,17.519676323597146
6.04,12.88,0.65,1.001,K0IV,16.589579315118968
7.45,34.3,0.89,0.726,G8V,20.126470600213853
9.47,1.3,1.3,0.041,Ap...,15.039716761534184
8.97,3.08,1.2,0.192,A0,16.412753582502223
8.56,5.15,1.13,0.1,A0,17.119036145205957
7.94,5.08,1.1,0.154,A2,16.4693185614196
7.27,2.26,0.71,0.064,A0,14.040542195737004
6.92,1.12,0.62,2.04,K2Ib-II,12.166090113350908
9.31,20.78,0.93,0.78,K0,20.898227716105794
8.62,6.66,1.22,0.403,F0V,17.737371145851505
9.94,0.47,1.83,1.035,K2,13.300489289678588
8.61,3.27,1.14,0.093,A1V,16.18273876330143
8.08,5.43,1.55,0.294,A2,16.753999147944235
5.51,27.61,0.77,0.461,F6V,17.71533203319631
9.72,3.69,2.11,0.1,G5V,17.555131830795304
8.98,1.58,1.09,0.979,K0,14.973285434772114
8.52,13.43,1.26,0.575,G0,19.160380063343574
10.78,1.6,1.85,-0.051,A0,16.800599913279623
9.67,6.27,0.99,0.474,F5V,18.656337704153582
8.86,-1.0,2.12,1.724,M0,13.86
9.05,4.62,1.19,0.354,F3IV,17.373209877780628
9.11,1.74,1.18,0.99,G8IV,15.312746241412999
8.01,1.77,1.19,1.177,G5,14.249866331809033
7.84,3.27,0.97,0.896,G5III,15.41273876330143
7.9,4.36,0.92,-0.046,B9,16.09743244634293
6.89,0.64,0.97,0.615,A2,10.920899869919435
7.32,10.47,0.82,0.435,F2,17.41973340839421
8.59,1.85,0.99,0.448,B1IV:nn,14.925858642015069
9.29,3.85,1.32,0.588,GIII:+...,17.2173036475425
9.38,2.47,1.33,0.951,G5,16.34348476629833
8.43,1.87,1.16,0.952,G8III/IV,14.789208032682495
8.35,5.93,0.73,0.824,G3/G5IV,17.215273466821312
8.44,2.22,1.05,1.544,K5,15.171764872253192
8.48,4.39,0.98,1.26,K0,16.692322601210606
10.85,6.3,2.06,0.717,K0,19.84670274726791
8.37,21.23,1.17,0.648,F8,20.00474997082999
9.7,1.92,1.22,0.212,B8,16.116506143517746
8.06,3.8,1.2,1.126,K1III,15.958917983084051
10.52,3.42,1.88,0.72,F5,18.190130530280676
11.26,23.82,2.4,1.31,G:...,23.14470878573379
8.43,12.99,1.01,0.505,F8,18.99804575536514
11.04,2.5,3.02,0.553,G0,18.029700043360187
9.21,4.74,1.26,1.1,K0,17.588891708370426
6.32,26.59,0.85,0.517,F7V,18.443591686657836
8.44,6.01,1.09,0.188,A2,17.334372360013695
9.43,7.19,1.26,0.568,F7/F8V,18.713644451914412
9.74,-2.37,1.64,1.065,K0,16.61374173005052
8.86,-0.06,1.27,1.559,M...,7.750756251918218
8.25,1.89,0.83,1.814,K5,14.63230902086622
11.21,28.51,2.39,1.392,M:,23.484986086547302
9.8,5.9,1.35,0.536,F6V,18.654260058210724
6.91,16.71,0.63,0.368,F2V,18.024882249466955
10.1,3.94,1.55,0.573,F7/F8V+...,18.07748110912787
6.72,21.19,0.92,0.466,F5,18.350654783553974
7.96,18.93,1.7,0.672,G2V comp SB,19.345753069818986
9.1,5.76,1.26,0.682,G0V,17.902112417116058
6.45,7.03,0.85,1.063,K0III,15.684776625099119
7.77,19.45,0.96,0.563,F5,19.214598028308632
8.18,2.32,1.08,1.281,K2III,15.007439924454498
8.4,23.21,1.15,0.78,K0V,20.228375702279585
7.86,9.61,0.88,0.264,A2,17.773616938342727
7.08,4.11,0.94,1.641,M0III,15.149209109380346
6.06,20.12,0.91,0.297,A5m...,17.578139881919448
7.88,14.56,1.06,0.447,F3V,18.695806874885093
5.08,6.45,0.63,-0.098,B7III,14.127798573176339
9.27,7.87,1.31,0.673,G3V,18.74987366179532
7.23,5.5,0.99,1.092,K2III,15.93181344747122
8.49,6.86,1.19,0.38,F0V,17.67162057853376
8.73,0.47,1.29,1.326,K2III,12.090489289678587
7.61,4.51,0.95,1.132,K0II-III,15.880882709389802
7.52,1.76,0.89,-0.096,B2V,13.74756333907075
9.26,6.38,1.35,0.483,F5V,18.28410339360581
9.84,1.22,1.42,0.579,F7V,15.271799153373742
8.37,7.77,1.89,0.636,G2/G3V,17.82210509400457
8.83,12.35,1.15,0.551,F8V,19.28833478797842
6.51,4.65,0.75,-0.07,B8IIIMNp...,14.84726476444977
7.31,3.1,0.91,-0.058,B8,14.766808469171362
8.98,2.51,1.45,0.966,G5,15.97836860740519
8.43,6.17,1.08,0.33,A3,17.381425820166207
8.95,1.38,1.02,1.549,K3III,14.649395432006182
9.28,2.05,1.2,1.027,K0,15.83876930527877
8.62,2.87,1.11,1.14,K0,15.909409483669961
8.9,-0.05,1.26,0.901,G0,7.394850021680094
7.85,11.95,0.95,0.817,G5,18.23683952642078
9.51,11.73,1.47,0.595,G2V,19.85649006057765
8.27,2.76,0.97,0.097,A0,15.474545410326089
5.78,0.97,0.59,0.294,A4III,10.713858671331224
8.28,6.13,0.94,0.125,A3,17.217302372592073
8.39,10.25,0.92,0.469,F5IV,18.443619326958867
9.1,1.71,1.01,1.438,K3III:,15.264980551960768
8.81,2.72,1.33,1.473,M3II,15.982844520170994
9.08,13.15,2.1,0.705,G5/G6IV/V,19.674628764128883
8.01,7.02,0.78,0.947,G5,17.241685560649024
8.4,3.44,0.99,1.147,K2III,16.08279221285765
8.56,12.33,1.13,0.476,G0,19.01481538297866
7.97,4.21,2.11,0.544,F5,16.09141047917834
8.04,5.89,0.73,0.206,A7V,16.890576473935507
6.43,5.05,0.58,1.26,K2/K3III,14.946456890593307
6.79,22.79,0.73,0.639,G0/G1V,18.578721625901878
7.92,0.11,0.84,0.047,A0,8.126963425791125
10.1,4.33,1.54,0.46,F5V,18.28243948176683
8.2,2.49,1.07,0.88,K0III+...,15.180996735478681
7.94,9.03,1.29,0.392,F3IV/V,17.71843875156753
8.64,18.03,1.23,0.648,G0,19.91997863361201
8.32,2.76,1.27,1.154,K0III,15.52454541032609
7.8,7.65,0.87,0.445,F3IV,17.21830717576809
8.42,4.48,0.8,0.302,F0,16.67639006999072
9.69,1.81,1.24,0.894,G8/K0IV/V,15.978392874345921
8.52,2.26,1.27,1.308,M5,15.290542195737004
5.14,4.97,0.78,1.587,K5III,13.621781943666658
6.77,3.48,0.75,1.419,K2,14.477896219732905
7.94,13.78,1.06,0.824,G2V,18.636246087858034
5.89,3.81,0.71,-0.146,B2.5IV,13.794624878378098
9.76,1.85,1.45,0.075,B8,16.095858642015067
8.41,-2.51,2.26,0.598,B5...,15.40836860740519
9.24,3.65,1.37,0.196,A5,17.051464322282374
6.72,5.63,0.57,0.394,F2/F3III,15.472541974256732
8.45,3.64,1.11,1.183,G5,16.25550691824528
8.17,15.34,1.1,0.636,G8/K0V,19.09912679806481
7.93,3.2,0.97,1.183,G5,15.455749891599531
10.78,1.25,1.88,0.328,A8V,16.264550065040282
4.34,4.97,0.82,-0.123,B5V,12.82178194366666
9.78,7.65,1.02,0.497,G0w...,19.198307175768086
10.52,5.38,1.66,0.576,F8,19.173911378331944
8.88,3.19,1.13,0.611,G0,16.398953415285906
8.16,8.36,1.04,0.605,F8,17.77103138719508
7.88,2.99,1.11,1.228,K0,15.258355941622149
8.22,6.7,1.13,0.458,F8,17.350374013504133
8.46,7.25,1.24,0.547,G0,17.76169003285497
3.69,5.46,0.61,-0.196,B2IV,12.375963213523686
9.45,-1.27,1.35,0.031,B5,14.969018604779784
7.43,2.21,0.85,1.266,K2,14.151961368425553
7.64,4.53,0.84,0.317,F0III,15.920491010064158
10.2,5.38,1.75,0.63,G0,18.853911378331944
10.09,2.01,0.94,0.349,F0V,16.605980287102444
6.18,9.75,0.84,1.17,K2III,16.12502307849268
8.1,16.59,0.89,0.605,F5,19.199231930121805
8.07,3.74,0.66,1.236,K1III:,15.934358011002402
8.19,1.29,1.03,1.645,M7,13.742948551496244
9.64,1.23,1.24,0.57,B1Ib,15.089525557196989
8.74,1.81,1.25,0.98,G8III,15.028392874345922
8.84,3.35,0.91,1.621,K5,16.465224035184228
9.9,3.97,1.16,0.453,F0V,17.893952533815575
8.96,1.21,1.37,0.107,A0,14.373926851582251
7.39,0.36,1.38,-0.004,B9,10.171512503836436
7.04,8.26,0.89,0.325,A2,16.62490023660191
6.4,6.85,0.66,0.995,K0II/IIICN,15.578452857462127
8.55,3.15,1.04,1.205,K0,16.041552768948
8.27,8.82,1.08,0.641,G3V,17.997342925659098
8.74,3.71,1.71,0.473,F5IV/V,16.586869548075228
5.57,64.38,1.4,0.715,K1V+...,19.61375486174797
5.45,3.19,0.77,0.886,G5III,12.968953415285906
6.99,22.29,0.84,0.723,G8V,18.730550342401187
8.28,5.82,1.28,0.902,G8III/IV,17.104614923249443
9.05,2.67,1.13,1.0,K0,16.182556306822875
7.98,6.02,0.7,0.188,A2m...,16.87798245628912
6.85,5.98,0.9,0.021,A0,15.733505919942054
9.36,2.29,1.26,1.029,K0III,16.15917741169944
9.11,4.18,1.45,1.247,K2III,17.215881408875177
8.57,0.27,1.13,1.082,G8III,10.726818820794938
8.95,4.78,1.15,0.392,F3V,17.347139483060595
6.43,5.65,0.85,1.339,K4III,15.190242239097193
7.95,3.86,0.71,0.974,K0,15.882936523358776
7.6,8.49,0.84,0.638,G0,17.244538451219764
8.77,3.36,1.19,1.393,K3III,16.40169638694922
7.87,2.63,0.87,1.176,K1III,14.969778742448788
8.65,0.34,1.2,1.332,K2,11.307394585211277
8.81,1.96,2.13,0.24,A0,15.27128035678238
8.64,1.8,0.96,1.288,M6III,14.916362525516531
8.12,1.49,1.15,0.959,G0,13.98593134206137
7.9,2.83,1.11,1.402,K9,15.158932177621452
8.99,5.11,1.36,1.225,K2,17.53210450067356
8.55,6.54,1.2,0.427,F0V,17.627888741621337
6.84,6.72,0.79,1.101,K1III,15.976846365269127
7.93,7.19,1.03,0.464,F5,17.213644451914412
9.64,6.65,1.57,1.012,K0/K1IV:,18.754108226515523
6.96,2.87,0.62,-0.005,B3,14.249409483669961
8.13,3.86,1.01,0.153,A0,16.062936523358776
9.83,4.73,2.54,0.521,F8,18.20430570368906
8.46,3.95,1.44,1.139,K0,16.4429854781323
8.69,2.93,0.76,1.183,K0,16.024338101770546
8.57,4.01,1.15,0.89,G8III,16.58572186310091
7.85,1.47,1.01,1.595,K0,13.68658667374088
9.31,7.14,1.25,0.387,F5,18.57849105888087
8.39,6.48,1.24,0.458,F3IV/V,17.447875029352968
8.43,2.86,1.11,0.37,A5,15.711830165645216
8.93,3.31,1.26,0.233,F0,16.529139968878596
9.39,13.01,1.37,0.605,G2/G3V,19.96138648280793
8.48,7.21,1.27,0.469,F5,17.769676323597146
7.53,20.92,0.97,0.463,F5,19.132808400976185
9.87,-0.09,1.56,1.212,K5,9.641212547196623
9.12,1.37,1.12,1.208,K2III,14.803602835782034
8.8,5.85,1.15,0.511,F6V,17.635779330410905
8.59,3.07,0.76,0.995,K0III,16.02569187738593
9.02,4.84,0.92,0.488,F0IV,17.444226808222062
9.03,4.83,1.29,0.824,G6V,17.44973565375756
7.67,4.79,0.96,1.082,K0,16.07167756707282
8.61,1.95,1.09,1.009,G5,15.06017305681259
8.45,6.71,1.57,0.6,F8,17.58361260084496
8.93,1.43,1.24,1.19,K2,14.70668018732531
8.94,1.56,1.0,1.419,K4III,14.905622991772308
7.96,7.76,0.84,0.181,A4V,17.409308606290942
6.64,4.46,0.8,1.301,K2III,14.88667429356071
8.57,1.61,1.15,0.223,F0,14.60412938015925
7.23,5.61,0.92,0.667,F7IV/V,15.974814306280807
7.74,6.38,0.89,1.137,K1IIICN...,16.76410339360581
7.97,3.52,1.08,1.56,K0,15.702713317390657
9.48,14.78,1.55,0.701,G5,20.32837217029404
7.37,9.56,0.64,0.611,G0V,17.2722894613805
7.91,5.47,1.19,1.091,K0III,16.599936631667155
9.54,12.52,2.48,0.846,G6/G8V,20.028021644372053
9.38,3.16,0.96,0.264,B8,16.87843541309202
8.97,1.87,1.23,1.267,K0,15.329208032682496
9.43,6.64,0.93,0.513,F6V,18.54084039684009
7.11,24.8,0.6,0.554,F8,19.08225840413108
10.48,43.4,1.94,1.424,M0,23.66744864756255
8.49,2.35,0.87,1.321,K2,15.345339311358682
7.43,16.35,0.66,0.482,F5IV-V,18.497588784981524
9.97,6.87,1.57,0.706,G3V,19.15478368529775
8.81,5.71,1.17,0.512,F7V,17.59318054122924
10.88,1.52,1.8,-0.195,B2,16.789217939723862
8.37,9.98,0.93,0.524,F5,18.365652706436855
8.77,2.04,1.15,0.448,G0,15.318150837129494
9.77,6.94,1.51,0.657,G3/G5V,18.976797352274275
8.06,3.25,1.0,1.004,G5,15.619416804894373
7.67,7.53,0.93,0.198,A2,17.053974881003505
8.86,7.43,1.18,0.411,F5,18.214944068802875
7.41,12.46,0.77,0.496,F6V,17.887590211615752
8.33,9.72,1.04,0.49,F5,18.268331324631376
10.07,8.97,1.34,0.647,G2,19.83396221522046
9.69,9.67,1.46,0.703,G8IV/V,19.617132370415007
6.73,5.25,1.15,-0.129,Asp...,15.330796517029786
9.25,9.57,1.38,0.465,F5V,19.15455968888422
8.87,5.6,1.16,0.524,F6V,17.610940135031
9.21,24.02,1.22,0.846,K0V,21.112865015334435
7.83,3.27,0.92,1.287,K0,15.40273876330143
6.77,-0.03,0.75,1.725,K3Ib-II,4.155606273598312
4.34,19.34,0.76,0.871,G5III...,15.772282348734915
9.07,3.82,1.38,1.564,K5,16.98031681455854
8.77,14.61,1.04,0.59,G0V,19.593251079671486
7.67,2.81,0.89,0.094,B9,14.913531599525399
7.11,16.01,0.94,0.423,F3IV/V,18.1319566595965
8.55,7.02,0.73,0.347,F0IV/V,17.781685560649027
9.32,2.61,1.38,0.923,G8III,16.403202536691403
8.99,1.59,1.53,0.979,G8III/IV,14.996985621602258
9.03,0.24,1.28,1.106,K0IVCN...,10.93105620855803
8.63,2.49,1.09,1.156,K1III,15.610996735478682
9.02,4.72,1.07,0.405,F2IV,17.389709993170438
6.87,7.58,0.59,0.114,A1m...,16.268346028160266
8.91,2.44,1.34,1.165,K0,15.846949131693648
8.6,0.7,1.13,1.461,K2,12.825490200071282
6.72,9.13,2.43,0.96,G5,16.522353887671496
8.32,6.29,1.06,0.097,A0,17.313253227226348
8.87,2.8,1.48,0.434,F2V,16.105790156711095
8.85,4.54,1.24,1.273,K2III,17.13527926428552
9.26,7.5,1.38,0.61,G3V,18.6353063169585
8.81,2.57,1.05,0.45,G8/K0III/IV,15.859665616656473
8.96,5.89,1.34,0.503,F5V,17.81057647393551
7.97,8.81,0.91,0.405,F0,17.69487954206024
7.74,26.42,0.61,0.754,G8V,19.849664066392542
9.04,16.48,1.19,0.63,G0,20.124786036805485
8.76,12.73,1.18,0.7,G5,19.284142018268277
6.43,4.47,0.81,1.482,K4III,14.681537615659682
9.71,10.81,1.71,0.66,G0,19.879128469766552
6.72,3.07,0.68,-0.019,A0,14.155691877385934
8.77,9.01,1.35,0.0,K,18.543623954895313
8.31,7.07,1.19,0.584,F7V,17.557097068984497
11.0,17.84,2.32,1.13,K5,22.25697425020052
8.24,1.92,1.02,0.926,K0III,14.656506143517749
7.77,9.25,1.02,0.231,A5V,17.600708663695162
7.67,4.02,0.91,0.95,G8/K0III,15.69113026542235
8.62,1.54,1.01,0.94,G8III,14.557603604182315
8.74,2.52,1.13,1.267,K2,15.747002703907722
8.1,1.5,1.08,1.227,K1III,13.980456295278406
8.22,3.6,1.12,1.228,K0,16.001512503836437
6.92,4.14,0.8,1.383,K3III,15.005001705604496
7.86,3.69,1.03,0.078,A0,15.695131830795301
9.72,11.72,1.47,0.679,G5,20.06463805841036
10.79,8.42,2.51,0.838,G5,20.416560457498246
8.15,4.62,0.98,1.388,K5,16.473209877780626
8.77,1.56,1.02,1.406,G5,14.735622991772308
9.62,1.27,1.6,0.289,A2,15.139018604779784
8.51,4.99,0.79,0.295,A9V,17.00050272811695
7.81,2.2,0.98,1.367,K1/K2III,14.522113404111032
9.67,2.16,1.14,1.244,K0III/IV,16.342268755754652
8.39,7.8,1.1,0.404,A2,17.8504730134524
8.81,1.87,1.23,1.176,K1/K2III,15.169208032682496
8.89,2.91,1.42,0.238,B9,16.209464944929536
5.45,2.45,0.68,1.644,K5III,12.395830421822662
6.81,12.5,0.66,0.471,F5IV/V,17.29455006504028
9.25,-1.21,1.4,1.397,K2/K3III,14.66392685158225
7.34,21.79,0.88,0.633,G2V,19.031286151231278
8.34,3.69,0.74,0.163,Ap...,16.1751318307953
8.67,2.52,1.1,1.157,K1III,15.677002703907721
9.04,1.96,1.06,0.136,A0,15.50128035678238
8.28,7.65,1.15,0.377,F0,17.698307175768086
9.15,6.97,1.29,0.341,F2,18.36616389049005
3.27,32.19,0.68,1.268,K3III...,15.808604883428066
5.88,90.03,0.72,0.85,K0V,20.651936250722574
8.82,3.01,1.31,0.952,G5,16.212832477969215
8.56,1.37,1.0,1.972,K7III,14.243602835782035
9.23,1.69,2.05,0.489,F6IV,15.369433523068368
8.52,4.63,0.93,0.961,K0,16.847904955089767
9.45,4.58,1.36,0.615,G2/G3V,17.754327390019345
10.03,4.93,1.35,0.441,F2/F3V,18.49423459638615
8.83,14.72,1.07,0.59,G0V,19.6695390500074
8.07,2.37,0.91,1.563,K5,14.94374173005052
9.94,2.9,1.21,0.246,A3m...,17.25198998949478
8.72,1.33,0.8,1.309,K3III,14.33925820483543
7.84,1.71,0.96,1.274,K2III,14.00498055196077
8.61,8.5,1.1,0.46,F8,18.257094628571465
9.4,2.94,1.34,1.0,K0,16.741736652060787
7.76,3.9,0.95,1.046,G5,15.715323035132496
8.23,9.68,1.66,0.397,F0,18.15937678654197
8.61,2.23,1.18,1.068,K0,15.351524315240802
9.52,2.48,1.09,0.261,A6V,16.492258404131082
8.77,6.72,1.09,0.446,F5,17.906846365269125
6.81,6.18,0.52,1.26,K5III,15.764942375444079
7.88,13.27,1.09,0.518,F5,18.494354614322177
9.04,2.12,1.21,1.348,G5,15.671679304643757
9.81,4.32,1.38,0.541,F8,17.98741873407456
9.36,8.2,1.48,0.724,G5V,18.929069261918585
7.43,20.14,0.91,0.538,F8,18.950297331087995
8.68,4.98,0.83,1.205,K2/K3III,17.16614671379859
10.5,30.52,1.79,1.143,K5:,22.922922646414214
6.83,13.82,0.79,0.432,F5,17.5325402151909
9.31,1.66,1.41,1.285,K2III,15.410540440200275
10.75,4.83,2.12,0.069,A0,19.169735653757563
8.12,4.16,0.73,0.936,K0,16.215466653133713
7.67,5.02,1.08,1.08,G5,16.1735185857251
8.46,8.79,1.14,0.575,F8V,18.17994437536886
9.19,3.33,1.42,1.414,M8,16.8022211675316
9.1,2.79,1.39,1.075,K0,16.328021016367988
7.9,5.26,1.15,0.744,G2IV/V,16.504928720768696
6.38,30.95,0.5,0.551,F6V:,18.833303266780685
9.02,3.15,0.83,0.418,F5,16.511552768948
9.47,2.76,1.56,0.442,F3V,16.67454541032609
8.57,1.61,1.16,0.188,A6V,14.60412938015925
6.0,10.75,0.71,1.142,K1IIICN...,16.15704232125812
7.72,7.38,0.77,0.542,F6IV,17.060281809115207
5.36,7.94,0.79,1.16,F3V...,14.859102512135482
9.27,8.65,1.23,0.465,F2V,18.955080537324072
8.62,1.6,1.21,1.72,M0,14.640599913279623
8.65,3.75,0.99,0.922,K0,16.520156338638593
6.68,24.12,0.82,0.519,F7V,18.59188651734057
11.41,43.64,2.59,1.476,M4,24.60942370958152
10.05,6.86,1.74,0.657,G0,19.231620578533757
6.73,4.95,0.57,1.199,K0,15.203025994667845
8.4,2.09,1.09,1.685,K5,15.00073143055527
8.5,6.69,0.8,0.447,F3V,17.627130588839115
8.76,13.44,1.16,0.584,G0V,19.401996343589033
8.03,7.33,1.21,0.243,A8V,17.355519873205637
8.69,5.64,1.22,0.684,G5,17.446395519916713
8.43,3.84,1.35,1.086,K0III,16.351656121837657
9.12,0.18,1.43,1.384,K2,10.39636252551653
7.8,3.24,0.93,0.962,K0,15.35272505103306
8.56,4.1,1.13,1.043,G8IV,16.623919283598678
8.08,1.72,1.28,1.541,K2,14.257642234537744
9.1,6.21,1.18,0.553,F8V,18.0654580008829
8.38,2.3,1.11,1.298,K2III,15.188639180087964
7.64,4.08,1.82,0.767,G0,15.693300815449401
8.69,5.45,1.26,0.549,F8V,17.371982511383212
11.49,18.91,2.89,1.255,K7,22.873457644225198
7.58,4.56,0.82,1.086,G5,15.874824213322174
9.56,8.72,8.21,0.34,A3,19.26258242466284
8.16,16.01,0.93,0.521,F6V,19.1819566595965
7.21,6.11,1.33,0.19,A3,16.140206051212772
7.04,5.61,0.72,1.122,K0IIIp,15.784814306280808
7.98,3.78,1.05,1.061,K0III,15.867458999186127
9.51,5.84,1.53,0.451,F3V,18.342064235562
7.43,17.02,0.95,0.571,F8,18.584797778742846
5.89,39.26,0.56,0.564,G1V,18.859751476319936
7.26,-0.02,0.74,1.92,K5III,3.765149978319906
7.3,4.79,0.64,0.026,A0,15.701677567072817
10.2,-0.01,1.63,0.461,F3/F5V,5.199999999999999
8.24,14.62,0.97,0.677,G0,19.06473686310921
6.49,6.48,1.01,0.91,G8III,15.547875029352968
8.01,5.09,1.41,0.285,A0,16.54358891168379
9.6,1.69,1.67,0.417,F0Vw...,15.739433523068367
7.49,0.81,0.79,1.38,K3IIICN...,12.032425094393249
2.24,14.27,0.57,1.17,K0II-IIIvar,13.012119865573235
8.71,2.73,1.34,1.106,K1III,15.890813235203781
8.8,19.11,1.13,0.71,G5V,20.206303435275068
8.68,17.32,1.19,0.638,G3/G5V,19.87273943840664
8.49,9.5,1.11,0.63,F5,18.378618026444236
7.71,1.8,1.08,1.51,K2,13.98636252551653
6.14,35.02,0.74,0.718,G3/G5V,18.861580708737137
9.88,9.7,1.3,0.695,G5,19.813858671331225
6.75,4.87,0.84,0.996,K0III,15.187644806073173
8.59,0.74,1.01,1.334,K0,12.936158598654881
8.88,4.86,1.29,0.996,G8II/III,17.313181346311467
8.95,7.26,0.95,0.513,F5V,18.25468310350047
9.27,3.15,1.44,1.154,K5,16.761552768948
5.9,5.66,0.94,1.091,K0III,14.664082155941358
9.05,4.72,0.91,0.491,F5V,17.41970999317044
8.78,23.09,1.37,0.747,G6V,20.597119664585883
8.22,4.29,0.87,0.419,F2IV/V,16.382286460923623
9.19,-0.78,1.14,0.704,B0Ib,13.650473013452402
9.13,2.51,1.08,0.968,K0,16.128368607405193
8.34,4.09,0.71,0.246,A5V,16.39861654003671
9.78,1.11,2.81,0.598,G0V,15.006614893933287
9.09,6.81,1.25,0.542,F5,18.255735559563924
8.45,5.05,1.19,0.927,G5III,16.966456890593307
7.02,38.65,1.1,0.62,G0...,19.95574749127172
8.36,11.81,0.99,0.531,F6/F7V,18.721249488067574
7.36,57.9,0.98,0.937,K2V,21.173392818637183
9.33,0.85,2.66,0.413,K4,13.977094628571464
8.8,3.14,0.98,0.882,G6/G8III,16.284648240366074
7.99,4.9,0.93,0.903,G5,16.44098040014257
9.34,1.84,1.04,1.095,K1III,15.664089115047682
7.37,21.91,0.82,0.539,F7V,19.073211887803527
8.82,3.36,1.24,0.827,G8III/IV,16.451696386949223
9.78,5.84,1.37,0.657,G3/G5V,18.612064235561995
11.27,6.68,2.25,0.49,sdG8,20.393882312377727
7.6,17.45,0.88,0.458,F4V,18.80897715647599
8.71,5.12,1.22,1.059,K0,17.256349804879157
9.01,0.02,1.23,0.908,K0,5.515149978319906
8.85,2.94,1.15,0.017,A0,16.191736652060786
8.32,3.76,1.26,0.1,A1V,16.195939224638305
9.38,5.79,1.5,0.505,F7V,18.193392818637182
8.0,3.87,0.94,1.056,G5,15.938554825094556
8.23,2.57,1.05,1.154,K1III,15.279665616656473
8.96,8.75,1.35,0.531,G0,18.670040265111567
9.31,2.63,1.32,0.45,F2,16.40977874244879
9.6,9.55,1.55,0.712,G3V,19.50001685791873
