,Vmag,Plx,e_Plx,B-V,SpType
2671,8.13,   3.30,  1.13, 1.381,K3III
2672,10.42,   3.34,  1.14, 0.397,F0
2673,10.11,   8.08,  1.61, 0.705,G0
2674,7.47,   5.53,  1.04, 0.940,G4III
2675,8.58,  10.67,  1.11, 0.512,F5
2676,9.49,   1.81,  1.26, 0.502,B8
2677,11.25,   8.75,  5.13, 0.639,G0
2678,9.46,   3.51,  1.44, 0.148,A0
2679,7.98,   2.88,  0.86, 1.068,K0/K1III
2680,8.31,   4.67,  1.06, 0.971,K1IV
2681,7.66,   4.10,  0.85, 1.298,K4III
2682,8.01,   1.79,  0.95, 1.525,M3III
2683,8.9,   0.70,  1.37, 1.250,K2
2684,10.39,  -0.42,  1.92, 0.412,F3/F5V
2685,7.64,   8.48,  1.09, 0.426,F2
2686,9.29,   2.19,  1.37, 1.245,K2
2687,8.43,   3.40,  1.07, 0.026,A0
2688,8.43,   3.95,  1.22, 0.991,K0
2689,9.87,   8.07,  1.72, 0.623,G2/G3V
2690,9.31,   7.41,  1.10, 0.693,G0
2691,7.78,   6.50,  0.87, 0.400,F2
2692,6.76,   7.05,  0.91, 0.949,G5
2693,7.9,  10.90,  0.91, 0.408,F0
2694,7.6,   4.10,  0.84, 0.108,A0
2695,8.55,  12.82,  1.07, 0.570,F8
2696,8.53,  10.64,  1.04, 0.415,F8
2697,9.62,   2.38,  1.38, 1.350,M9
2698,6.88,   8.21,  0.80, 0.180,A5IV
2699,9.32,   1.27,  0.90,-0.154,B5III
2700,9.49,   5.43,  1.54, 0.824,G5
2701,8.76,   2.45,  1.22, 1.050,K0
2702,8.85,   1.57,  1.25, 0.111,A0
2703,8.55,   4.22,  1.29, 0.930,K0
2704,6.47,   5.77,  0.61,-0.049,B9III
2705,6.8,   5.71,  0.75, 1.293,K3III
2706,9.39,   5.83,  1.58, 0.513,F5V
2707,6.9,  24.09,  0.88, 0.481,F2
2708,5.57,  39.03,  0.62, 0.472,F3IV-V
2709,7.38,  21.20,  0.87, 0.549,F8
2710,7.02,   9.97,  1.90, 0.732,G0
2711,9.15,   5.25,  1.38, 0.818,G5IV/V
2712,9.27,   9.97,  1.90, 0.570,G0
2713,7.67,  19.32,  1.15, 0.503,F5
2714,8.07,  16.11,  0.92, 0.517,F7V
2715,8.35,   1.68,  0.84, 1.290,K0III
2716,7.36,   6.18,  0.68, 0.183,A3
2717,10.19,   3.90,  1.68, 0.370,F5V
2718,8.47,   5.31,  1.17, 0.337,F0
2719,10.02,   2.47,  1.59, 1.327,K0
2720,7.42,   3.70,  0.89, 1.132,K1III
2721,8.18,  16.31,  0.96, 0.504,F8
2722,9.48,  26.98,  1.61, 1.000,K0
2723,9.12,  11.70,  3.14, 0.676,G3V
2724,9.75,   2.96,  1.56, 0.735,F8V
2725,8.85,   6.00,  1.30, 0.976,F5
2726,9.56,  21.78,  1.01, 1.050,K5V
2727,8.91,   6.24,  1.29, 0.549,F5
2728,8.59,   5.54,  0.75, 0.146,A0V
2729,8.79,   7.49,  1.81, 0.475,F2
2730,8.92,   6.75,  1.09, 0.370,F2
2731,6.39,   8.15,  0.86, 1.136,K0
2732,8.7,   8.96,  1.08, 0.581,F8
2733,8.97,  22.17,  1.24, 0.827,K0
2734,9.68,   7.30,  1.52, 0.428,F3V
2735,8.59,   2.45,  1.19, 1.033,K0III
2736,10.42,   2.61,  1.88, 0.550,F2
2737,8.15,   2.95,  1.17, 1.594,K5
2738,9.02,  10.31,  1.32, 0.440,F2V
2739,8.02,  34.52,  1.04, 0.870,K0IV
2740,9.56,   9.64,  1.47, 0.610,G3V
2741,8.55,  34.04,  0.86, 0.854,K3V
2742,7.62,   6.24,  0.98, 0.980,G8III
2743,8.76,   8.92,  1.03, 0.391,F0V
2744,8.76,  18.13,  1.01, 0.602,G3V
2745,9.62,   5.84,  0.98, 0.481,F6V
2746,8.31,   5.67,  0.73, 0.291,A2
2747,8.46,   1.83,  1.54, 1.270,K0
2748,8.38,  14.68,  1.11, 0.529,F8
2749,9.02,  16.71,  7.26, 0.970,K0
2750,6.58,   4.78,  1.31, 1.445,G8III-IV...
2751,9.38,   0.27,  1.14, 1.257,K0
2752,9.23,   2.51,  0.98, 1.313,K3/K4III
2753,7.26,   0.69,  0.70, 0.566,F0
2754,8.85,   2.01,  1.43, 1.140,K1/K2III
2755,8.51,  -0.48,  1.67, 0.219,A0IV/V
2756,8.99,  13.22,  1.20, 0.703,G5
2757,7.37,  22.87,  1.00, 0.602,F8
2758,9.57,  10.45,  1.14, 0.822,G8IV/V
2759,5.2,  47.51,  1.15, 0.567,F8V...
2760,8.41,   4.11,  1.07, 0.114,A0
2761,8.02,  12.58,  1.11, 0.460,F5
2762,8.62,  11.34,  1.07, 0.587,G0V
2763,8.81,   5.16,  0.77, 0.411,F2V
2764,10.38,  10.82,  1.81, 0.732,G5
2765,9.13,  -1.41,  1.19, 0.887,F4Iab:
2766,8.36,   5.61,  1.87, 0.441,F3V
2767,8.62,   0.58,  0.77, 0.285,B9
2768,7.78,   2.82,  1.21, 1.371,K3III
2769,8.07,   1.38,  1.26, 1.378,G5
2770,8.52,   5.66,  1.22, 1.067,G5
2771,8.0,   1.19,  1.05, 1.200,G5
2772,8.0,   2.84,  1.19, 1.034,K0III
2773,9.68,   0.01,  1.41, 1.161,K7
2774,9.03,   1.70,  1.69, 1.061,K0
2775,8.64,   7.25,  4.38, 0.112,A0
2776,9.08,   3.20,  7.97, 0.135,A0
2777,8.35,  10.53,  7.90, 0.598,G0
2778,7.64,   7.80,  1.01, 0.203,F0
2779,6.95,   8.57,  0.75, 0.097,A2
2780,7.72,   5.72,  0.87, 0.041,A0
2781,10.85,   2.28,  2.47, 0.836,K
2782,8.99,   1.54,  1.23, 0.888,G5
2783,9.5,  19.69,  1.42, 0.831,K0
2784,5.94,  17.97,  0.74, 0.444,F5IV
2785,8.23,   7.21,  1.13, 0.287,A7V
2786,6.04,  12.88,  0.65, 1.001,K0IV
2787,7.45,  34.30,  0.89, 0.726,G8V
2788,9.47,   1.30,  1.30, 0.041,Ap...
2789,8.97,   3.08,  1.20, 0.192,A0
2790,8.56,   5.15,  1.13, 0.100,A0
2791,7.94,   5.08,  1.10, 0.154,A2
2792,7.27,   2.26,  0.71, 0.064,A0
2793,6.92,   1.12,  0.62, 2.040,K2Ib-II
2794,9.31,  20.78,  0.93, 0.780,K0
2795,8.62,   6.66,  1.22, 0.403,F0V
2796,9.94,   0.47,  1.83, 1.035,K2
2797,8.61,   3.27,  1.14, 0.093,A1V
2798,8.08,   5.43,  1.55, 0.294,A2
2799,5.51,  27.61,  0.77, 0.461,F6V
2800,9.72,   3.69,  2.11, 0.100,G5V
2801,8.98,   1.58,  1.09, 0.979,K0
2802,8.52,  13.43,  1.26, 0.575,G0
2803,10.78,   1.60,  1.85,-0.051,A0
2804,9.67,   6.27,  0.99, 0.474,F5V
2805,8.86,  -1.00,  2.12, 1.724,M0
2806,9.05,   4.62,  1.19, 0.354,F3IV
2807,9.11,   1.74,  1.18, 0.990,G8IV
2808,8.01,   1.77,  1.19, 1.177,G5
2809,7.84,   3.27,  0.97, 0.896,G5III
2810,7.9,   4.36,  0.92,-0.046,B9
2811,6.89,   0.64,  0.97, 0.615,A2
2812,7.32,  10.47,  0.82, 0.435,F2
2813,8.59,   1.85,  0.99, 0.448,B1IV:nn
2814,9.29,   3.85,  1.32, 0.588,GIII:+...
2815,9.38,   2.47,  1.33, 0.951,G5
2816,8.43,   1.87,  1.16, 0.952,G8III/IV
2817,8.35,   5.93,  0.73, 0.824,G3/G5IV
2818,8.44,   2.22,  1.05, 1.544,K5
2819,8.48,   4.39,  0.98, 1.260,K0
2820,10.85,   6.30,  2.06, 0.717,K0
2821,8.37,  21.23,  1.17, 0.648,F8
2822,9.7,   1.92,  1.22, 0.212,B8
2823,8.06,   3.80,  1.20, 1.126,K1III
2824,10.52,   3.42,  1.88, 0.720,F5
2825,11.26,  23.82,  2.40, 1.310,G:...
2826,8.43,  12.99,  1.01, 0.505,F8
2827,11.04,   2.50,  3.02, 0.553,G0
2828,9.21,   4.74,  1.26, 1.100,K0
2829,6.32,  26.59,  0.85, 0.517,F7V
2830,8.44,   6.01,  1.09, 0.188,A2
2831,10.45,   1.66,  1.81,      ,K7
2832,9.43,   7.19,  1.26, 0.568,F7/F8V
2833,9.74,  -2.37,  1.64, 1.065,K0
2834,8.86,  -0.06,  1.27, 1.559,M...
2835,8.25,   1.89,  0.83, 1.814,K5
2836,11.21,  28.51,  2.39, 1.392,M:
2837,9.8,   5.90,  1.35, 0.536,F6V
2838,6.91,  16.71,  0.63, 0.368,F2V
2839,10.1,   3.94,  1.55, 0.573,F7/F8V+...
2840,6.72,  21.19,  0.92, 0.466,F5
2841,7.96,  18.93,  1.70, 0.672,G2V comp SB
2842,9.1,   5.76,  1.26, 0.682,G0V
2843,6.45,   7.03,  0.85, 1.063,K0III
2844,7.77,  19.45,  0.96, 0.563,F5
2845,8.18,   2.32,  1.08, 1.281,K2III
2846,8.4,  23.21,  1.15, 0.780,K0V
2847,7.86,   9.61,  0.88, 0.264,A2
2848,7.08,   4.11,  0.94, 1.641,M0III
2849,6.06,  20.12,  0.91, 0.297,A5m...
2850,7.88,  14.56,  1.06, 0.447,F3V
2851,5.08,   6.45,  0.63,-0.098,B7III
2852,9.27,   7.87,  1.31, 0.673,G3V
2853,7.23,   5.50,  0.99, 1.092,K2III
2854,8.49,   6.86,  1.19, 0.380,F0V
2855,8.73,   0.47,  1.29, 1.326,K2III
2856,7.61,   4.51,  0.95, 1.132,K0II-III
2857,7.52,   1.76,  0.89,-0.096,B2V
2858,9.26,   6.38,  1.35, 0.483,F5V
2859,9.84,   1.22,  1.42, 0.579,F7V
2860,8.37,   7.77,  1.89, 0.636,G2/G3V
2861,8.83,  12.35,  1.15, 0.551,F8V
2862,6.51,   4.65,  0.75,-0.070,B8IIIMNp...
2863,7.31,   3.10,  0.91,-0.058,B8
2864,8.98,   2.51,  1.45, 0.966,G5
2865,8.43,   6.17,  1.08, 0.330,A3
2866,8.95,   1.38,  1.02, 1.549,K3III
2867,9.28,   2.05,  1.20, 1.027,K0
2868,8.62,   2.87,  1.11, 1.140,K0
2869,8.9,  -0.05,  1.26, 0.901,G0
2870,7.85,  11.95,  0.95, 0.817,G5
2871,9.51,  11.73,  1.47, 0.595,G2V
2872,8.27,   2.76,  0.97, 0.097,A0
2873,5.78,   0.97,  0.59, 0.294,A4III
2874,8.28,   6.13,  0.94, 0.125,A3
2875,8.39,  10.25,  0.92, 0.469,F5IV
2876,9.1,   1.71,  1.01, 1.438,K3III:
2877,8.81,   2.72,  1.33, 1.473,M3II
2878,9.08,  13.15,  2.10, 0.705,G5/G6IV/V
2879,8.01,   7.02,  0.78, 0.947,G5
2880,8.4,   3.44,  0.99, 1.147,K2III
2881,10.11,  16.64,  1.46, 0.940,
2882,8.56,  12.33,  1.13, 0.476,G0
2883,7.97,   4.21,  2.11, 0.544,F5
2884,8.04,   5.89,  0.73, 0.206,A7V
2885,6.43,   5.05,  0.58, 1.260,K2/K3III
2886,6.79,  22.79,  0.73, 0.639,G0/G1V
2887,7.92,   0.11,  0.84, 0.047,A0
2888,10.1,   4.33,  1.54, 0.460,F5V
2889,8.2,   2.49,  1.07, 0.880,K0III+...
2890,7.94,   9.03,  1.29, 0.392,F3IV/V
2891,8.64,  18.03,  1.23, 0.648,G0
2892,8.32,   2.76,  1.27, 1.154,K0III
2893,7.8,   7.65,  0.87, 0.445,F3IV
2894,8.42,   4.48,  0.80, 0.302,F0
2895,9.69,   1.81,  1.24, 0.894,G8/K0IV/V
2896,8.52,   2.26,  1.27, 1.308,M5
2897,5.14,   4.97,  0.78, 1.587,K5III
2898,6.77,   3.48,  0.75, 1.419,K2
2899,7.94,  13.78,  1.06, 0.824,G2V
2900,5.89,   3.81,  0.71,-0.146,B2.5IV
2901,9.76,   1.85,  1.45, 0.075,B8
2902,8.41,  -2.51,  2.26, 0.598,B5...
2903,9.24,   3.65,  1.37, 0.196,A5
2904,6.72,   5.63,  0.57, 0.394,F2/F3III
2905,8.45,   3.64,  1.11, 1.183,G5
2906,8.17,  15.34,  1.10, 0.636,G8/K0V
2907,7.93,   3.20,  0.97, 1.183,G5
2908,10.78,   1.25,  1.88, 0.328,A8V
2909,4.34,   4.97,  0.82,-0.123,B5V
2910,9.78,   7.65,  1.02, 0.497,G0w...
2911,10.52,   5.38,  1.66, 0.576,F8
2912,8.88,   3.19,  1.13, 0.611,G0
2913,8.16,   8.36,  1.04, 0.605,F8
2914,7.88,   2.99,  1.11, 1.228,K0
2915,8.22,   6.70,  1.13, 0.458,F8
2916,8.46,   7.25,  1.24, 0.547,G0
2917,3.69,   5.46,  0.61,-0.196,B2IV
2918,9.45,  -1.27,  1.35, 0.031,B5
2919,7.43,   2.21,  0.85, 1.266,K2
2920,7.64,   4.53,  0.84, 0.317,F0III
2921,10.2,   5.38,  1.75, 0.630,G0
2922,10.09,   2.01,  0.94, 0.349,F0V
2923,6.18,   9.75,  0.84, 1.170,K2III
2924,8.1,  16.59,  0.89, 0.605,F5
2925,8.07,   3.74,  0.66, 1.236,K1III:
2926,8.19,   1.29,  1.03, 1.645,M7
2927,9.64,   1.23,  1.24, 0.570,B1Ib
2928,8.74,   1.81,  1.25, 0.980,G8III
2929,8.84,   3.35,  0.91, 1.621,K5
2930,9.9,   3.97,  1.16, 0.453,F0V
2931,8.96,   1.21,  1.37, 0.107,A0
2932,7.39,   0.36,  1.38,-0.004,B9
2933,7.04,   8.26,  0.89, 0.325,A2
2934,6.4,   6.85,  0.66, 0.995,K0II/IIICN
2935,8.55,   3.15,  1.04, 1.205,K0
2936,8.27,   8.82,  1.08, 0.641,G3V
2937,8.74,   3.71,  1.71, 0.473,F5IV/V
2938,5.57,  64.38,  1.40, 0.715,K1V+...
2939,5.45,   3.19,  0.77, 0.886,G5III
2940,10.33,   7.92,  1.77, 0.522,
2941,6.99,  22.29,  0.84, 0.723,G8V
2942,8.28,   5.82,  1.28, 0.902,G8III/IV
2943,9.05,   2.67,  1.13, 1.000,K0
2944,7.98,   6.02,  0.70, 0.188,A2m...
2945,6.85,   5.98,  0.90, 0.021,A0
2946,9.36,   2.29,  1.26, 1.029,K0III
2947,9.11,   4.18,  1.45, 1.247,K2III
2948,8.57,   0.27,  1.13, 1.082,G8III
2949,8.95,   4.78,  1.15, 0.392,F3V
2950,6.43,   5.65,  0.85, 1.339,K4III
2951,7.95,   3.86,  0.71, 0.974,K0
2952,7.6,   8.49,  0.84, 0.638,G0
2953,8.77,   3.36,  1.19, 1.393,K3III
2954,7.87,   2.63,  0.87, 1.176,K1III
2955,8.65,   0.34,  1.20, 1.332,K2
2956,8.81,   1.96,  2.13, 0.240,A0
2957,8.64,   1.80,  0.96, 1.288,M6III
2958,8.12,   1.49,  1.15, 0.959,G0
2959,7.9,   2.83,  1.11, 1.402,K9
2960,8.99,   5.11,  1.36, 1.225,K2
2961,8.55,   6.54,  1.20, 0.427,F0V
2962,6.84,   6.72,  0.79, 1.101,K1III
2963,7.93,   7.19,  1.03, 0.464,F5
2964,9.64,   6.65,  1.57, 1.012,K0/K1IV:
2965,6.96,   2.87,  0.62,-0.005,B3
2966,8.13,   3.86,  1.01, 0.153,A0
2967,9.83,   4.73,  2.54, 0.521,F8
2968,8.46,   3.95,  1.44, 1.139,K0
2969,8.69,   2.93,  0.76, 1.183,K0
2970,8.57,   4.01,  1.15, 0.890,G8III
2971,7.85,   1.47,  1.01, 1.595,K0
2972,9.31,   7.14,  1.25, 0.387,F5
2973,8.39,   6.48,  1.24, 0.458,F3IV/V
2974,8.43,   2.86,  1.11, 0.370,A5
2975,8.93,   3.31,  1.26, 0.233,F0
2976,9.39,  13.01,  1.37, 0.605,G2/G3V
2977,8.48,   7.21,  1.27, 0.469,F5
2978,7.53,  20.92,  0.97, 0.463,F5
2979,9.87,  -0.09,  1.56, 1.212,K5
2980,9.12,   1.37,  1.12, 1.208,K2III
2981,8.8,   5.85,  1.15, 0.511,F6V
2982,8.59,   3.07,  0.76, 0.995,K0III
2983,9.02,   4.84,  0.92, 0.488,F0IV
2984,9.03,   4.83,  1.29, 0.824,G6V
2985,7.67,   4.79,  0.96, 1.082,K0
2986,8.61,   1.95,  1.09, 1.009,G5
2987,8.45,   6.71,  1.57, 0.600,F8
2988,8.93,   1.43,  1.24, 1.190,K2
2989,8.94,   1.56,  1.00, 1.419,K4III
2990,7.96,   7.76,  0.84, 0.181,A4V
2991,6.64,   4.46,  0.80, 1.301,K2III
2992,8.57,   1.61,  1.15, 0.223,F0
2993,9.65,   7.03,  1.17, 0.634,
2994,7.23,   5.61,  0.92, 0.667,F7IV/V
2995,7.74,   6.38,  0.89, 1.137,K1IIICN...
2996,7.97,   3.52,  1.08, 1.560,K0
2997,9.48,  14.78,  1.55, 0.701,G5
2998,7.37,   9.56,  0.64, 0.611,G0V
2999,7.91,   5.47,  1.19, 1.091,K0III
3000,9.54,  12.52,  2.48, 0.846,G6/G8V
3001,9.38,   3.16,  0.96, 0.264,B8
3002,8.97,   1.87,  1.23, 1.267,K0
3003,9.43,   6.64,  0.93, 0.513,F6V
3004,7.11,  24.80,  0.60, 0.554,F8
3005,10.48,  43.40,  1.94, 1.424,M0
3006,8.49,   2.35,  0.87, 1.321,K2
3007,7.43,  16.35,  0.66, 0.482,F5IV-V
3008,9.97,   6.87,  1.57, 0.706,G3V
3009,8.81,   5.71,  1.17, 0.512,F7V
3010,10.88,   1.52,  1.80,-0.195,B2
3011,8.37,   9.98,  0.93, 0.524,F5
3012,8.77,   2.04,  1.15, 0.448,G0
3013,9.77,   6.94,  1.51, 0.657,G3/G5V
3014,8.06,   3.25,  1.00, 1.004,G5
3015,7.67,   7.53,  0.93, 0.198,A2
3016,8.86,   7.43,  1.18, 0.411,F5
3017,7.41,  12.46,  0.77, 0.496,F6V
3018,8.33,   9.72,  1.04, 0.490,F5
3019,9.96,  19.86,  1.86, 0.792,
3020,10.07,   8.97,  1.34, 0.647,G2
3021,9.69,   9.67,  1.46, 0.703,G8IV/V
3022,6.73,   5.25,  1.15,-0.129,Asp...
3023,9.25,   9.57,  1.38, 0.465,F5V
3024,8.87,   5.60,  1.16, 0.524,F6V
3025,9.21,  24.02,  1.22, 0.846,K0V
3026,7.83,   3.27,  0.92, 1.287,K0
3027,6.77,  -0.03,  0.75, 1.725,K3Ib-II
3028,4.34,  19.34,  0.76, 0.871,G5III...
3029,9.07,   3.82,  1.38, 1.564,K5
3030,8.77,  14.61,  1.04, 0.590,G0V
3031,7.67,   2.81,  0.89, 0.094,B9
3032,7.11,  16.01,  0.94, 0.423,F3IV/V
3033,8.55,   7.02,  0.73, 0.347,F0IV/V
3034,9.32,   2.61,  1.38, 0.923,G8III
3035,8.99,   1.59,  1.53, 0.979,G8III/IV
3036,9.03,   0.24,  1.28, 1.106,K0IVCN...
3037,8.63,   2.49,  1.09, 1.156,K1III
3038,9.02,   4.72,  1.07, 0.405,F2IV
3039,6.87,   7.58,  0.59, 0.114,A1m...
3040,8.91,   2.44,  1.34, 1.165,K0
3041,8.6,   0.70,  1.13, 1.461,K2
3042,6.72,   9.13,  2.43, 0.960,G5
3043,8.32,   6.29,  1.06, 0.097,A0
3044,8.87,   2.80,  1.48, 0.434,F2V
3045,8.85,   4.54,  1.24, 1.273,K2III
3046,9.26,   7.50,  1.38, 0.610,G3V
3047,8.81,   2.57,  1.05, 0.450,G8/K0III/IV
3048,8.96,   5.89,  1.34, 0.503,F5V
3049,7.97,   8.81,  0.91, 0.405,F0
3050,7.74,  26.42,  0.61, 0.754,G8V
3051,9.04,  16.48,  1.19, 0.630,G0
3052,8.76,  12.73,  1.18, 0.700,G5
3053,6.43,   4.47,  0.81, 1.482,K4III
3054,9.71,  10.81,  1.71, 0.660,G0
3055,6.72,   3.07,  0.68,-0.019,A0
3056,8.77,   9.01,  1.35, 0.000,K
3057,8.31,   7.07,  1.19, 0.584,F7V
3058,11.66,   8.17, 10.12,      ,
3059,11.0,  17.84,  2.32, 1.130,K5
3060,8.24,   1.92,  1.02, 0.926,K0III
3061,7.77,   9.25,  1.02, 0.231,A5V
3062,7.67,   4.02,  0.91, 0.950,G8/K0III
3063,8.62,   1.54,  1.01, 0.940,G8III
3064,8.74,   2.52,  1.13, 1.267,K2
3065,8.1,   1.50,  1.08, 1.227,K1III
3066,8.22,   3.60,  1.12, 1.228,K0
3067,6.92,   4.14,  0.80, 1.383,K3III
3068,7.86,   3.69,  1.03, 0.078,A0
3069,9.72,  11.72,  1.47, 0.679,G5
3070,10.79,   8.42,  2.51, 0.838,G5
3071,8.15,   4.62,  0.98, 1.388,K5
3072,8.77,   1.56,  1.02, 1.406,G5
3073,9.62,   1.27,  1.60, 0.289,A2
3074,8.51,   4.99,  0.79, 0.295,A9V
3075,7.81,   2.20,  0.98, 1.367,K1/K2III
3076,9.67,   2.16,  1.14, 1.244,K0III/IV
3077,8.39,   7.80,  1.10, 0.404,A2
3078,8.81,   1.87,  1.23, 1.176,K1/K2III
3079,8.89,   2.91,  1.42, 0.238,B9
3080,5.45,   2.45,  0.68, 1.644,K5III
3081,6.81,  12.50,  0.66, 0.471,F5IV/V
3082,9.25,  -1.21,  1.40, 1.397,K2/K3III
3083,7.34,  21.79,  0.88, 0.633,G2V
3084,8.34,   3.69,  0.74, 0.163,Ap...
3085,8.67,   2.52,  1.10, 1.157,K1III
3086,9.04,   1.96,  1.06, 0.136,A0
3087,8.28,   7.65,  1.15, 0.377,F0
3088,9.15,   6.97,  1.29, 0.341,F2
3089,3.27,  32.19,  0.68, 1.268,K3III...
3090,5.88,  90.03,  0.72, 0.850,K0V
3091,8.82,   3.01,  1.31, 0.952,G5
3092,8.56,   1.37,  1.00, 1.972,K7III
3093,9.23,   1.69,  2.05, 0.489,F6IV
3094,9.22,  15.82,  0.96, 0.680,
3095,8.52,   4.63,  0.93, 0.961,K0
3096,9.45,   4.58,  1.36, 0.615,G2/G3V
3097,10.03,   4.93,  1.35, 0.441,F2/F3V
3098,8.83,  14.72,  1.07, 0.590,G0V
3099,8.07,   2.37,  0.91, 1.563,K5
3100,9.94,   2.90,  1.21, 0.246,A3m...
3101,8.72,   1.33,  0.80, 1.309,K3III
3102,7.84,   1.71,  0.96, 1.274,K2III
3103,8.61,   8.50,  1.10, 0.460,F8
3104,9.4,   2.94,  1.34, 1.000,K0
3105,7.76,   3.90,  0.95, 1.046,G5
3106,8.23,   9.68,  1.66, 0.397,F0
3107,8.61,   2.23,  1.18, 1.068,K0
3108,9.52,   2.48,  1.09, 0.261,A6V
3109,8.77,   6.72,  1.09, 0.446,F5
3110,11.19,  15.90,  2.42,      ,
3111,6.81,   6.18,  0.52, 1.260,K5III
3112,7.88,  13.27,  1.09, 0.518,F5
3113,9.04,   2.12,  1.21, 1.348,G5
3114,9.81,   4.32,  1.38, 0.541,F8
3115,9.36,   8.20,  1.48, 0.724,G5V
3116,7.43,  20.14,  0.91, 0.538,F8
3117,8.68,   4.98,  0.83, 1.205,K2/K3III
3118,10.5,  30.52,  1.79, 1.143,K5:
3119,6.83,  13.82,  0.79, 0.432,F5
3120,9.31,   1.66,  1.41, 1.285,K2III
3121,10.75,   4.83,  2.12, 0.069,A0
3122,8.12,   4.16,  0.73, 0.936,K0
3123,10.22,  24.73,  1.63, 1.278,
3124,7.67,   5.02,  1.08, 1.080,G5
3125,8.46,   8.79,  1.14, 0.575,F8V
3126,9.19,   3.33,  1.42, 1.414,M8
3127,9.1,   2.79,  1.39, 1.075,K0
3128,7.9,   5.26,  1.15, 0.744,G2IV/V
3129,6.38,  30.95,  0.50, 0.551,F6V:
3130,9.02,   3.15,  0.83, 0.418,F5
3131,9.47,   2.76,  1.56, 0.442,F3V
3132,8.57,   1.61,  1.16, 0.188,A6V
3133,6.0,  10.75,  0.71, 1.142,K1IIICN...
3134,7.72,   7.38,  0.77, 0.542,F6IV
3135,5.36,   7.94,  0.79, 1.160,F3V...
3136,9.27,   8.65,  1.23, 0.465,F2V
3137,8.62,   1.60,  1.21, 1.720,M0
3138,8.65,   3.75,  0.99, 0.922,K0
3139,6.68,  24.12,  0.82, 0.519,F7V
3140,11.41,  43.64,  2.59, 1.476,M4
3141,10.05,   6.86,  1.74, 0.657,G0
3142,6.73,   4.95,  0.57, 1.199,K0
3143,8.4,   2.09,  1.09, 1.685,K5
3144,8.5,   6.69,  0.80, 0.447,F3V
3145,8.76,  13.44,  1.16, 0.584,G0V
3146,8.03,   7.33,  1.21, 0.243,A8V
3147,8.69,   5.64,  1.22, 0.684,G5
3148,8.43,   3.84,  1.35, 1.086,K0III
3149,9.12,   0.18,  1.43, 1.384,K2
3150,7.8,   3.24,  0.93, 0.962,K0
3151,8.56,   4.10,  1.13, 1.043,G8IV
3152,8.08,   1.72,  1.28, 1.541,K2
3153,9.1,   6.21,  1.18, 0.553,F8V
3154,8.38,   2.30,  1.11, 1.298,K2III
3155,9.59,       ,      , 0.400,A5
3156,7.64,   4.08,  1.82, 0.767,G0
3157,8.69,   5.45,  1.26, 0.549,F8V
3158,11.49,  18.91,  2.89, 1.255,K7
3159,7.58,   4.56,  0.82, 1.086,G5
3160,9.56,   8.72,  8.21, 0.340,A3
3161,8.16,  16.01,  0.93, 0.521,F6V
3162,7.21,   6.11,  1.33, 0.190,A3
3163,7.04,   5.61,  0.72, 1.122,K0IIIp
3164,7.98,   3.78,  1.05, 1.061,K0III
3165,9.51,   5.84,  1.53, 0.451,F3V
3166,7.43,  17.02,  0.95, 0.571,F8
3167,5.89,  39.26,  0.56, 0.564,G1V
3168,7.26,  -0.02,  0.74, 1.920,K5III
3169,7.3,   4.79,  0.64, 0.026,A0
3170,10.2,  -0.01,  1.63, 0.461,F3/F5V
3171,8.24,  14.62,  0.97, 0.677,G0
3172,6.49,   6.48,  1.01, 0.910,G8III
3173,8.01,   5.09,  1.41, 0.285,A0
3174,9.6,   1.69,  1.67, 0.417,F0Vw...
3175,7.49,   0.81,  0.79, 1.380,K3IIICN...
3176,2.24,  14.27,  0.57, 1.170,K0II-IIIvar
3177,8.71,   2.73,  1.34, 1.106,K1III
3178,8.8,  19.11,  1.13, 0.710,G5V
3179,8.68,  17.32,  1.19, 0.638,G3/G5V
3180,8.49,   9.50,  1.11, 0.630,F5
3181,7.71,   1.80,  1.08, 1.510,K2
3182,6.14,  35.02,  0.74, 0.718,G3/G5V
3183,11.1,  15.87,  3.26, 1.022,
3184,9.88,   9.70,  1.30, 0.695,G5
3185,6.75,   4.87,  0.84, 0.996,K0III
3186,8.59,   0.74,  1.01, 1.334,K0
3187,8.88,   4.86,  1.29, 0.996,G8II/III
3188,8.95,   7.26,  0.95, 0.513,F5V
3189,9.27,   3.15,  1.44, 1.154,K5
3190,5.9,   5.66,  0.94, 1.091,K0III
3191,9.05,   4.72,  0.91, 0.491,F5V
3192,8.78,  23.09,  1.37, 0.747,G6V
3193,8.22,   4.29,  0.87, 0.419,F2IV/V
3194,9.19,  -0.78,  1.14, 0.704,B0Ib
3195,9.13,   2.51,  1.08, 0.968,K0
3196,8.34,   4.09,  0.71, 0.246,A5V
3197,9.78,   1.11,  2.81, 0.598,G0V
3198,9.09,   6.81,  1.25, 0.542,F5
3199,8.45,   5.05,  1.19, 0.927,G5III
3200,7.02,  38.65,  1.10, 0.620,G0...
3201,8.36,  11.81,  0.99, 0.531,F6/F7V
3202,7.36,  57.90,  0.98, 0.937,K2V
3203,9.33,   0.85,  2.66, 0.413,K4
3204,8.8,   3.14,  0.98, 0.882,G6/G8III
3205,7.99,   4.90,  0.93, 0.903,G5
3206,9.34,   1.84,  1.04, 1.095,K1III
3207,7.37,  21.91,  0.82, 0.539,F7V
